CUST_ID,HOTEL_ID,BOOKING_ID,SERVICE_ID,TXN_DATE,BOOK_DATE,CHECK_IN_DATE,CHECK_OUT_DATE,CHECK_IN_DAY,CHECK_OUT_DAY,QUANTITY,PAYMENT,CORPORATE_FLAG,DESCRIPTION,COST_TO_HOTEL,AGE,SURVEY_DATE,ANNUAL_INCOME,RESIDENTIAL_STATE,STATE,CITY,NO_OF_ROOMS,STANDARD_ROOM,DELUXE_ROOM,FAMILY_ROOM,CLUB_SUITE,COST_TOTAL,PROFIT,PROFIT_MARGIN,LEAD_TIME,DUMMY
C_1009,31,B2432,ROOM3,23/11/2018,1/11/2018,15/11/2018,23/11/2018,5,6,8,4000,N,Club suite per night,200,23,15/11/2018,36000,SA,QLD,Gold Coast,110,30,30,40,10,1600,2400,0.60,14,1
C_1009,21,B2433,ROOM1,11/04/2019,19/03/2019,2/04/2019,11/04/2019,3,5,9,1440,N,Standard room per night,80,23,15/11/2018,36000,SA,VIC,Melbourne City,65,40,15,5,5,720,720,0.50,14,1
C_1009,31,B2433,FD2,11/04/2019,19/03/2019,#N/A,#N/A,#N/A,#N/A,3,75,N,Breakfast,15,23,15/11/2018,36000,SA,QLD,Gold Coast,110,30,30,40,10,45,30,0.40,#N/A,1
C_1011,31,B1650,ROOM2,4/09/2018,2/08/2018,16/08/2018,4/09/2018,5,3,19,4940,N,Deluxe room per night,120,21,16/08/2018,90000,TAS,QLD,Gold Coast,110,30,30,40,10,2280,2660,0.54,14,1
C_1011,31,B1650,FD3,4/09/2018,2/08/2018,#N/A,#N/A,#N/A,#N/A,19,855,N,Dinner,25,21,16/08/2018,90000,TAS,QLD,Gold Coast,110,30,30,40,10,475,380,0.44,#N/A,1
C_1011,31,B1650,FD2,4/09/2018,2/08/2018,#N/A,#N/A,#N/A,#N/A,16,400,N,Breakfast,15,21,16/08/2018,90000,TAS,QLD,Gold Coast,110,30,30,40,10,240,160,0.40,#N/A,1
C_1029,31,B1613,ROOM1,1/12/2018,2/11/2018,16/11/2018,1/12/2018,6,7,15,2400,N,Standard room per night,80,19,16/11/2018,4000,SA,QLD,Gold Coast,110,30,30,40,10,1200,1200,0.50,14,1
C_1029,31,B1613,FD2,1/12/2018,2/11/2018,#N/A,#N/A,#N/A,#N/A,6,150,N,Breakfast,15,19,16/11/2018,4000,SA,QLD,Gold Coast,110,30,30,40,10,90,60,0.40,#N/A,1
C_1029,31,B1613,FD3,1/12/2018,2/11/2018,#N/A,#N/A,#N/A,#N/A,12,540,N,Dinner,25,19,16/11/2018,4000,SA,QLD,Gold Coast,110,30,30,40,10,300,240,0.44,#N/A,1
C_1036,21,B2486,ROOM2,29/01/2019,11/01/2019,25/01/2019,29/01/2019,6,3,4,1040,N,Deluxe room per night,120,22,25/01/2019,74000,VIC,VIC,Melbourne City,65,40,15,5,5,480,560,0.54,14,1
