CUST_ID,ANNUAL_INCOME,RESIDENTIAL_STATE,AGE,SURVEY_DATE,Payment,Payment_from_food,Payment_from_hotel,Payment_from_spa,profit,profit_from_food,profit_from_hotel,days_hotel21,days_hotel31,days_hotel11,days_or_number_FD2,days_or_number_ROOM1,days_or_number_ROOM3,days_or_number_FD3,days_or_number_ROOM2,days_or_number_FD4,days_or_number_SPA1,days_or_number_SPA3,days_or_number_ROOM4,days_or_number_LOUNG,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,count_bookings,book_to_pay,book_to_check,corporate_percent,interstate,Indicator Test
C_1873,862000,VIC,59,2/10/2018,33595,1685,25960,5950,18300,3780,14520,0,0,88,21,22,22,18,44,14,5,10,0,11,0,44,44,0,0,0,0,44,9,7,1,1,#N/A
C_3260,501000,VIC,36,18/09/2018,32870,1920,24680,6270,17665,3945,13720,0,0,90,18,40,22,21,28,21,7,9,0,15,0,45,45,0,0,0,0,45,9,7,1,1,#N/A
C_5930,887000,VIC,43,16/07/2018,32335,1385,24240,6710,17380,4020,13360,0,0,90,16,30,16,13,44,16,6,11,0,13,45,45,0,0,0,0,0,45,9,7,1,1,#N/A
C_7826,984000,VIC,43,1/10/2018,31915,1485,24600,5830,17295,3655,13640,0,0,90,17,36,20,13,34,19,3,10,0,11,45,45,0,0,0,0,0,45,9,7,1,1,#N/A
C_5022,103000,WA,36,21/12/2018,30235,1635,27000,1600,18570,1670,16900,11,28,15,21,20,0,18,0,12,0,4,34,0,7,7,7,8,9,8,8,4,27.8,14,0,1,1
C_8086,201000,NSW,49,27/07/2018,29400,1420,27620,360,18255,825,17430,0,27,20,26,0,0,11,12,11,6,0,35,0,7,6,6,7,7,7,7,4,27.25,14,0,0.833333333,1
C_1966,108000,VIC,42,19/02/2019,28485,1025,27460,0,18155,525,17630,20,0,20,18,1,0,0,0,23,0,0,39,0,6,6,6,6,6,5,5,3,28.28571429,14,0,0.714285714,1
C_2803,422000,VIC,54,18/09/2018,28405,1375,23040,3990,15225,2585,12640,0,0,90,17,42,16,15,32,11,4,6,0,9,0,45,45,0,0,0,0,45,9,7,1,1,#N/A
C_2133,699000,VIC,40,1/10/2018,28170,1530,21200,5440,14730,3290,11440,0,0,88,15,36,8,19,44,12,9,7,0,14,44,44,0,0,0,0,0,44,9,7,1,1,#N/A
C_7674,534000,VIC,56,1/10/2018,28020,1650,21840,4530,14965,2885,12080,0,0,82,17,38,18,20,26,13,3,6,0,13,41,41,0,0,0,0,0,41,9,7,1,1,#N/A
C_3129,150000,VIC,55,16/07/2018,27895,1725,21600,4570,14700,3020,11680,0,0,88,19,32,8,20,48,14,2,7,0,11,44,44,0,0,0,0,0,44,9,7,1,1,#N/A
C_1339,133000,TAS,32,9/07/2018,26875,2075,22800,2000,15280,2080,13200,32,21,23,35,40,0,20,20,12,0,5,16,0,10,11,12,12,11,10,10,5,30.33333333,14,0.133333333,1,1
C_1861,30000,NSW,21,21/07/2018,26260,1960,24180,120,15160,940,14220,57,0,0,27,0,39,23,18,10,2,0,0,0,7,7,8,8,9,10,8,4,28.09090909,14,0,1,#N/A
C_4344,69000,QLD,31,13/09/2018,26100,1200,24900,0,16165,565,15600,26,1,18,17,0,0,10,15,13,0,0,30,0,6,6,6,7,6,7,7,4,26.8,14,0.1,0.3,1
C_3188,1159000,VIC,43,7/08/2018,24575,1755,19080,3740,12800,2600,10200,0,0,84,18,42,6,19,36,18,4,5,0,10,0,42,42,0,0,0,0,42,9,7,1,1,#N/A
C_2369,132000,WA,41,28/07/2018,24410,1190,21780,1440,14945,1355,13590,0,0,45,17,18,0,12,0,9,4,3,27,0,6,7,6,6,6,8,6,3,28.7,14,0,1,1
C_6669,753000,VIC,45,30/07/2018,24395,1005,19760,3630,13115,2315,10800,0,0,80,9,44,14,9,22,15,3,6,0,7,40,40,0,0,0,0,0,40,9,7,1,1,#N/A
C_6545,84000,NSW,58,11/08/2018,23895,935,21360,1600,14790,1310,13480,1,3,35,23,11,0,8,0,0,0,4,28,0,5,7,6,5,4,6,6,5,24.25,14,0.083333333,0.75,1
C_3176,94000,ACT,27,16/09/2018,21295,655,19840,800,13240,730,12510,17,9,8,19,0,0,4,9,0,0,2,25,0,5,6,5,4,5,4,5,3,25.75,14,0,1,1
C_4953,59000,ACT,32,5/08/2018,19775,875,17300,1600,11870,1380,10490,0,14,28,6,11,0,5,14,20,0,4,17,0,5,6,7,7,7,5,5,3,27.33333333,14,0.111111111,1,1
C_1312,72000,QLD,45,27/03/2019,19645,1045,18200,400,12420,720,11700,26,0,0,5,0,0,16,0,8,0,1,26,0,4,4,3,3,4,4,4,2,26.75,14,0,0.25,1
C_4466,135000,NSW,45,29/10/2018,19525,605,18920,0,11730,300,11430,17,0,27,0,0,0,9,27,8,0,0,17,0,6,7,7,7,6,6,5,3,27.5,14,0,0.666666667,1
C_3867,32000,VIC,20,7/09/2018,18875,975,17900,0,11480,430,11050,41,0,0,3,20,0,20,0,0,0,0,21,0,6,6,6,5,6,6,6,2,34.5,14,0,0.5,1
C_5590,89000,VIC,36,11/12/2018,18170,450,17720,0,10960,180,10780,24,0,14,18,0,7,0,17,0,0,0,14,0,6,5,5,5,5,6,6,3,27.8,14,0,0.6,1
C_1937,101000,TAS,27,23/11/2018,18015,975,17040,0,10950,430,10520,0,19,20,17,19,0,10,0,4,0,0,20,0,6,6,6,4,5,6,6,2,33.5,14,0,1,1
C_2509,117000,SA,30,17/10/2018,17835,135,16100,1600,11330,980,10350,4,0,19,0,0,0,3,0,0,0,4,23,0,2,2,4,4,4,4,3,2,21.75,14,0,1,1
C_4515,51000,ACT,23,27/07/2018,17595,1855,15100,640,9675,1175,8500,0,0,54,17,35,19,29,0,5,4,1,0,0,8,7,8,8,8,7,8,3,32,14,0,1,#N/A
C_3192,60000,ACT,34,18/01/2019,17455,1595,15860,0,10590,760,9830,0,0,35,17,16,0,16,0,18,0,0,19,0,6,6,4,4,5,5,5,2,31.71428571,14,0,1,1
C_5702,90000,QLD,50,6/08/2018,17275,375,16100,800,10975,625,10350,15,8,0,12,0,0,0,0,3,0,2,23,0,4,3,3,4,3,3,3,2,24.8,14,0,0.2,1
C_4077,100000,QLD,26,31/12/2018,17115,175,16940,0,10610,100,10510,0,33,0,1,0,0,0,14,6,0,0,19,0,5,5,5,5,5,4,4,2,30.5,14,0,0,1
C_4563,97000,TAS,42,2/10/2018,16800,400,16340,60,10290,220,10070,23,15,0,10,19,0,0,0,6,1,0,19,0,5,6,6,6,6,5,4,3,27.25,14,0,1,1
C_6026,86000,NSW,22,3/07/2018,16700,2620,14080,0,8160,1120,7040,88,0,0,40,88,0,36,0,0,0,0,0,0,0,44,44,0,0,0,0,44,9,7,1,1,#N/A
C_8729,73000,ACT,35,4/01/2019,16665,1105,14760,800,10175,985,9190,0,17,11,8,0,0,14,11,11,0,2,17,0,4,4,4,3,4,4,5,2,27,14,0,1,1
C_1093,66000,TAS,43,11/11/2018,16605,525,13280,2800,10175,1855,8320,24,0,0,14,0,0,0,8,7,0,7,16,0,4,3,3,3,3,3,5,2,26.57142857,14,0,1,1
C_8222,60000,QLD,39,1/02/2019,16530,950,15180,400,9615,795,8820,0,0,39,1,0,21,0,18,37,0,1,0,0,6,5,5,5,6,6,6,2,34,14,0,0.333333333,#N/A
C_6907,44000,WA,19,1/11/2018,16435,1735,14700,0,9435,785,8650,33,15,0,19,35,0,23,0,9,0,0,13,0,7,7,6,8,7,6,7,3,31,14,0,1,1
C_6963,101000,NSW,25,3/07/2018,16285,2845,13440,0,7940,1220,6720,84,0,0,40,84,0,41,0,0,0,0,0,0,0,42,42,0,0,0,0,42,9,7,1,1,#N/A
C_4097,92000,WA,55,22/02/2019,16165,1225,14700,240,10165,715,9450,0,21,0,21,0,0,5,0,19,4,0,21,0,3,3,3,3,3,3,3,1,35,14,0,1,1
C_4341,160000,WA,38,22/12/2018,16080,640,13840,1600,9650,1200,8450,16,0,18,4,16,0,12,3,0,0,4,15,0,5,4,4,4,5,7,5,3,27.5,14,0,1,1
C_2798,83000,NSW,23,3/07/2018,16065,2625,13440,0,7850,1130,6720,84,0,0,33,84,0,40,0,0,0,0,0,0,0,42,42,0,0,0,0,42,9,7,1,1,#N/A
C_4372,168000,TAS,40,15/03/2019,16045,1345,14700,0,10055,605,9450,0,0,21,18,0,0,16,0,7,0,0,21,0,3,3,3,3,3,3,3,1,35,14,0,1,1
C_1175,250000,TAS,60,4/12/2018,16020,840,14660,520,9600,770,8830,0,41,0,2,26,0,2,0,28,2,1,15,0,6,7,7,5,5,5,6,4,23.5,14,0,1,1
C_7139,82000,NSW,21,3/07/2018,16020,2900,13120,0,7810,1250,6560,82,0,0,35,82,0,45,0,0,0,0,0,0,0,41,41,0,0,0,0,41,9,7,1,1,#N/A
C_4962,136000,NSW,52,12/04/2019,15935,575,15360,0,9710,270,9440,0,16,16,15,0,0,0,16,8,0,0,16,0,5,5,4,4,5,5,4,2,30,14,0,0.8,1
C_9191,123000,NSW,25,3/07/2018,15865,2745,13120,0,7730,1170,6560,82,0,0,45,82,0,36,0,0,0,0,0,0,0,41,41,0,0,0,0,41,9,7,1,1,#N/A
C_6918,143000,NT,57,30/05/2019,15665,965,14700,0,9910,460,9450,0,0,21,0,0,0,17,0,8,0,0,21,0,3,3,3,3,3,3,3,1,35,14,0.333333333,1,1
C_8232,82000,TAS,26,9/07/2018,15575,375,14000,1200,9840,840,9000,0,0,20,15,0,0,0,0,0,0,3,20,0,3,3,3,3,3,3,2,1,34,14,0,1,1
C_5609,152000,WA,44,28/11/2018,15540,840,14700,0,9885,435,9450,0,0,21,4,0,0,7,0,17,0,0,21,0,3,3,3,3,3,3,3,1,35,14,0,1,1
C_7779,29000,VIC,20,19/08/2018,15490,650,14840,0,9540,320,9220,20,12,0,0,14,0,10,0,8,0,0,18,0,5,4,5,5,4,4,5,3,27.33333333,14,0,0.666666667,1
C_7267,109000,NSW,28,3/07/2018,15450,2650,12800,0,7530,1130,6400,80,0,0,43,80,0,35,0,0,0,0,0,0,0,40,40,0,0,0,0,40,9,7,1,1,#N/A
C_1141,110000,VIC,33,29/07/2018,15425,225,14000,1200,9800,800,9000,20,0,0,5,0,0,0,0,4,0,3,20,0,3,3,3,3,3,2,3,1,34,14,0,0.75,1
C_9645,59000,SA,22,15/09/2018,15425,1765,12860,800,8680,1300,7380,40,0,0,20,21,19,17,0,20,0,2,0,0,6,6,6,5,5,6,6,2,33.75,14,0,1,#N/A
C_1291,138000,TAS,36,30/03/2019,15355,655,14700,0,9815,365,9450,0,0,21,0,0,0,4,0,19,0,0,21,0,3,3,3,3,3,3,3,1,35,14,0,1,1
C_1874,82000,NSW,21,3/07/2018,15355,2875,12480,0,7470,1230,6240,78,0,0,43,78,0,40,0,0,0,0,0,0,0,39,39,0,0,0,0,39,9,7,1,1,#N/A
C_9034,68000,VIC,27,14/11/2018,15315,575,14740,0,9190,230,8960,33,0,0,23,0,0,0,19,0,0,0,14,0,5,5,5,5,5,4,4,2,30.5,14,0,0.5,1
C_9471,47000,WA,32,16/08/2018,15280,500,13180,1600,8985,1165,7820,31,0,0,4,0,14,5,13,7,0,4,4,0,4,4,4,5,5,5,4,3,25.375,14,0,1,1
C_8587,52000,TAS,33,3/09/2018,15200,200,15000,0,9220,120,9100,20,0,14,0,0,0,0,20,8,0,0,14,0,5,5,5,5,5,5,4,2,32,14,0.666666667,1,1
C_2649,80000,NSW,21,3/07/2018,15190,2390,12800,0,7420,1020,6400,80,0,0,38,80,0,32,0,0,0,0,0,0,0,40,40,0,0,0,0,40,9,7,1,1,#N/A
C_3651,87000,NSW,29,3/07/2018,15155,2035,13120,0,7430,870,6560,82,0,0,31,82,0,28,0,0,0,0,0,0,0,41,41,0,0,0,0,41,9,7,1,1,#N/A
C_5304,129000,NSW,32,3/07/2018,15135,2655,12480,0,7370,1130,6240,78,0,0,45,78,0,34,0,0,0,0,0,0,0,39,39,0,0,0,0,39,9,7,1,1,#N/A
